"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",10202,3036,-1176,3,2,NA,23.8,23.9,24.4,25.6,26.2,26.5,27.2,27.5,28.1,28.7,29.7,31.3,NA,NA,0.1,0.5,1.15,0.6,0.35,0.65,0.35,0.6,0.6,1,1.6,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",10302,2595,-1000,1,0,19.2,19.9,20.5,21.1,22.1,22.9,23.5,24.3,24.9,25.5,25.7,26.3,27.4,0.7,0.7,0.55,0.6,1.05,0.8,0.55,0.85,0.55,0.6,0.2,0.6,1.1,NA,0,0,0,1,2,2,0,2,0,0,2,0
"MR",10301,3097,-978,4,0,46,47.2,48.3,49.3,50.9,52,53.1,54.4,55.7,57,57.9,59,60.6,0.95,1.25,1.05,1.05,1.55,1.15,1.1,1.3,1.3,1.3,0.9,1.1,1.6,20,8,2,3,0,9,9,6,12,3,16,24,3
"MR",43,2342,-614,3,2,38.4,39.1,39.8,41,42.2,43.4,44.1,45.4,46.2,47.1,48,48.8,49.9,0.9,0.65,0.75,1.15,1.25,1.15,0.75,1.25,0.8,0.95,0.85,0.85,1.05,NA,0,0,0,0,2,2,0,1,0,0,1,0
"MR",44,2342,-670,2,2,33.1,33.3,33.4,33.6,34.2,34.9,35.1,35.9,36.3,36.8,37.2,37.4,37.6,0.05,0.25,0.05,0.2,0.6,0.7,0.2,0.8,0.4,0.5,0.45,0.15,0.2,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",45,2497,-600,4,0,36.2,37,37.4,38.3,39.2,40.3,41.4,42.5,43.5,44.7,45.5,46.3,47.2,0.7,0.75,0.4,0.95,0.9,1.05,1.1,1.1,1.05,1.15,0.8,0.8,0.95,NA,15,0,5,0,0,24,2,48,1,35,1,1
"MR",10501,2675,-528,3,2,46.1,46.6,47.2,47.9,48.4,49,49.6,50.1,50.6,50.8,51.3,51.4,51.6,NA,0.5,0.6,0.7,0.5,0.6,0.55,0.55,0.45,0.25,0.45,0.15,0.2,NA,0,0,3,0,0,10,0,1,0,1,0,0
"MR",10601,2517,-340,1,2,29.2,29.4,29.5,29.7,29.9,30.1,30.2,30.4,30.6,NA,NA,NA,NA,NA,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"MR",10604,2774,-478,4,0,NA,18.7,20.6,22.7,25.3,27.4,29.4,31.3,33,34.9,36.8,38.5,40.3,NA,NA,1.85,2.15,2.55,2.15,1.95,1.9,1.7,1.95,1.9,1.7,1.8,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",10603,2794,-356,4,0,NA,46.5,47.2,48.1,49,49.7,50.5,51.6,52.3,53.6,54.4,55.5,56.9,NA,NA,0.7,0.9,0.85,0.75,0.8,1.05,0.7,1.3,0.85,1.05,1.45,NA,9,0,7,2,6,1,0,1,2,1,3,2
"MR",41,2913,-397,1,3,27.8,28.6,29.2,30,31,32.1,33,33.7,33.9,34.2,34.3,34.5,34.8,0.6,0.8,0.55,0.85,1,1.05,0.95,0.65,0.2,0.3,0.1,0.2,0.3,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",42,2940,-341,3,1,41.5,41.7,41.8,42,42.5,42.7,42.9,43.3,43.7,43.8,44.3,44.5,45.3,0.2,0.15,0.15,0.2,0.45,0.2,0.2,0.45,0.35,0.15,0.5,0.2,0.75,NA,0,0,0,0,0,2,0,3,1,0,1,0
"MR",36,2304,-204,3,3,65.1,65.2,65.2,65.7,66.3,67.1,67.8,68.8,69.5,70.2,70.9,71.5,72.4,0,0.05,0.05,0.5,0.6,0.75,0.75,1,0.7,0.7,0.65,0.6,0.95,NA,0,0,0,1,5,2,2,108,9,63,5,42
"MR",37,2433,-304,2,0,56.6,57.3,58.1,59.2,60.5,61.3,62.3,63.7,64.3,65.5,66.1,66.8,68.2,1.05,0.7,0.8,1.15,1.25,0.85,1,1.4,0.6,1.15,0.6,0.7,1.45,50,64,2,167,34,340,64,135,331,3,340,42,85
"MR",38,2448,-330,1,0,57.2,57.3,57.2,57.3,57.4,57.5,57.5,57.8,58,58.2,58.4,58.7,59.1,0.05,0.1,-0.05,0.05,0.15,0.1,0,0.3,0.2,0.15,0.25,0.3,0.35,NA,0,7,9,5,5,2,1,6,7,11,14,11
