sample_id,date,year,water_body,location,lat_dd,long_dd,tube_id_2011,kirk_number_2011,field_id,species_name,gear,vgn_depth_m,vgn_id,start_time,end_time,depth_start,depth_stop,total_depth,otoliths,scale,muscle,adipose,whole_fish,fin_clip,genetics,photo,stomach_lavage,stomach_dissection,stomach_contents,food_weight_g,bia,fate,age_otolith,age_otolith_by,age_otolith_confidence,age_otolith_date,age_scale,tl_mm,fl_mm,sl_mm,weight_g,weight_dry_g,q_2,sex,gillraker_count,c,o,sr,op,ch_1,ch_2,lmx,lmd,io,h_1,h_2,ad,pd,pv,pa,av,dc,ac,ld,hd,la,ha,lp,hp,lv,hv,pl,ll,d,a,p,v,egg_development,egg_weight,egg_count,d13c_muscle,d15n_muscle,percent_c_muscle,percent_n_muscle,c_to_n_muscle,d13c_adipose,d15n_adipose,percent_c_adipose,percent_n_adipose,c_to_n_adipose,water_temp_c,do_mg_l,conductivity,weather,time,floy_id,pit_id,lotek_id,lotek_code,lotek_freq,nickname,comments
131,7/24/09,2009,Hovsgol,Yellow Corner,51.34425,100.29893,,,grayling-Hovsgol,grayling-unknown,gillnet-horizontal,NA,NA,18:30,9:15,0.5,10,NA,,,,,,,,,,,,1.8,,,6,Brian Weidel,1,9/17/14,,257,230,218,142,NA,100,F,NA,44.8,10.8,10.8,23.7,33.9,23.8,12.1,22.1,12.2,50.7,14.6,78.3,102.2,69.4,NA,53.5,NA,NA,42.8,27.6,22.9,30.2,34.6,NA,31.2,NA,34.5,NA,VI-11,III-10,II-14,II-9,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"""R"" assumed to be ""SR"""
203,7/27/09,2009,Hovsgol,Turag,51.31597,100.77818,,,grayling-Hovsgol,grayling-unknown,gillnet-horizontal,NA,NA,19:00,8:00,1,1.5,NA,Y,,,,,,,,,,,3.5,,,7,Brian Weidel,1,9/17/14,11+,309,283,262,228,NA,200,F,NA,52.6,12.5,12.8,28,37.8,27,14.3,26.4,15,49.8,18.1,110.9,117,80.3,NA,74,NA,NA,51.3,33,22,29,45.5,NA,41.1,NA,45.1,94,VIII-11,II-9,II-14,II-10,VI-II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"""R"" assumed to be ""SR"""
134,7/25/09,2009,Hovsgol,Stomach Bay,51.33582,100.38239,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,22:30,9:00,2,10,NA,,,,,,,,,,,,8.5,,,11,Brian Weidel,1,9/17/14,13+,369,337,320,352,NA,310,F,24,63.8,13.4,16.3,33.5,46,32.5,17.5,33.6,16.5,59.8,20,116.2,152.8,94.6,NA,83.3,NA,NA,55.5,30.2,32.5,31.6,48.8,NA,43.5,NA,58.5,88,VI-10,III-9,II-14,II-9,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"""R"" assumed to be ""SR"""
L1114,7/13/12,2012,Uur,Riffle DST swimming hole,50.30985,101.89547,,,lenok,lenok,angling,NA,NA,,AM,NA,NA,NA,2,,Y,Y,,,,N,,Y,,NA,Y,,3,Brian Weidel,1,10/22/14,,291,270,250,231.1,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,-29.5,11.5,0.338154824,0.107220497,3.15382629,-28.85551907,11.14376314,0.510334663,0.146930896,3.473297167,NA,NA,NA,,,NA,NA,,NA,NA,,"hadn't been planning on processing this adipose sample because we didn't need the length, but it had already been packed, so we might as well."
157,7/25/09,2009,Hovsgol,Stomach Bay,51.33582,100.38239,,,grayling-Hovsgol,grayling-unknown,gillnet-horizontal,NA,NA,22:30,9:00,2,12,NA,,,,,,,,,,,,1.1,,,4,Brian Weidel,1,9/17/14,7+,230,208,198,92,NA,73,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,VI-II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
L1189,7/24/12,2012,Hovsgol,Stomach Bay,51.33582,100.38239,,,lenok,lenok,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,Y,,,,,N,,Y,,NA,N,,5,Brian Weidel,1,10/22/14,,505,474,442,1232,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,-22.4,8.32,0.469874744,0.124551504,3.772533683,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
LE2046,7/23/13,2013,Hovsgol,Horoo,51.571778,100.501307,,,lenok,lenok,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,Y,,,Y,Y,N,,Y,,NA,,,5,Brian Weidel,1,10/22/14,,455,440,415,1000,890,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,-19.87,7.83,0.49,0.143,3.4,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
G2198,7/21/13,2013,Hovsgol,Turag,51.301181,100.779395,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,Y,,,Y,,Y,,Y,,NA,,,8,Brian Weidel,1,11/12/14,,238,221,204,99,79,NA,F,22,40.4,11,NA,20,25.7,16.2,12.4,18.5,4,42.3,10.5,71.6,104.3,66.8,NA,48.6,87,28.9,46.2,29.4,21.3,30.7,NA,8.5,35.9,8.8,NA,91,VII-13,II-9,,II-13,,NA,NA,-21.86,7.03,0.463,0.133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
G1260,7/22/12,2012,Hovsgol,Turag,51.31259,100.74381,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-vertical,2,4,,AM,NA,NA,NA,2,,Y,,,,,Y,,N,,NA,N,,9,Brian Weidel,1,11/12/14,,285,227,213,108,NA,NA,F,28,43.4,12.1,NA,22.5,27.8,17.6,14.4,20.1,6.4,42,11.7,64,111.5,68.9,NA,54.7,95.3,32,42.8,37.3,21.8,28.2,31.8,6.8,35.8,7.8,NA,85,VI-13,II-9,I-9,I-14,,NA,NA,-25.02,6.36,0.490808113,0.146936401,3.34027585,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
G1234,7/20/12,2012,Hovsgol,Dalbai,51.04689,100.72345,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,N,,10,Brian Weidel,1,11/12/14,,255,233,215,103.9,NA,NA,F,30,43.5,11,NA,23.2,25.2,17.5,15.5,17.8,7.4,37.8,11.5,77,112.2,69.7,NA,53.5,93.9,33.8,48.8,47.4,19.4,31.3,33,8.4,37.7,7.8,NA,88,VI-12,II-8,I-10,I-14,,NA,NA,-25.09,6.43,0.415368127,0.120445801,3.448589531,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
