sample_id,date,year,water_body,location,lat_dd,long_dd,tube_id_2011,kirk_number_2011,field_id,species_name,gear,vgn_depth_m,vgn_id,start_time,end_time,depth_start,depth_stop,total_depth,otoliths,scale,muscle,adipose,whole_fish,fin_clip,genetics,photo,stomach_lavage,stomach_dissection,stomach_contents,food_weight_g,bia,fate,age_otolith,age_otolith_by,age_otolith_confidence,age_otolith_date,age_scale,tl_mm,fl_mm,sl_mm,weight_g,weight_dry_g,q_2,sex,gillraker_count,c,o,sr,op,ch_1,ch_2,lmx,lmd,io,h_1,h_2,ad,pd,pv,pa,av,dc,ac,ld,hd,la,ha,lp,hp,lv,hv,pl,ll,d,a,p,v,egg_development,egg_weight,egg_count,d13c_muscle,d15n_muscle,percent_c_muscle,percent_n_muscle,c_to_n_muscle,d13c_adipose,d15n_adipose,percent_c_adipose,percent_n_adipose,c_to_n_adipose,water_temp_c,do_mg_l,conductivity,weather,time,floy_id,pit_id,lotek_id,lotek_code,lotek_freq,nickname,comments
B164,7/27/09,2009,Hovsgol,Turag,51.31597,100.77818,,,lenok,lenok,gillnet-horizontal,NA,NA,19:00,,2.5,5,NA,Y,,,,,,,,,,,NA,,,,,,,,410,NA,NA,560,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B166,7/27/09,2009,Hovsgol,Turag,51.31597,100.77818,,,lenok,lenok,gillnet-horizontal,NA,NA,19:00,,2.5,5,NA,Y,,,,,,,,,,,NA,,,,,,,,426,NA,NA,780,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B170,7/27/09,2009,Hovsgol,Turag,51.31597,100.77818,,,burbot,burbot,gillnet-horizontal,NA,NA,19:00,,2.5,5,NA,Y,,,,,,,,,,,NA,,,,,,,,441,NA,NA,558,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B175,7/28/09,2009,Hovsgol,Dalbai,51.04778,100.72179,,,lenok,lenok,gillnet-horizontal,NA,NA,20:00,,2,2,NA,Y,,,,,,,,,Y,,NA,,,,,,,,372,NA,NA,429,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B181,7/28/09,2009,Hovsgol,Dalbai,51.04778,100.72179,,,lenok,lenok,gillnet-horizontal,NA,NA,20:00,,1.5,1.5,NA,Y,,,,,,,,,Y,,NA,,,,,,,,384,NA,NA,456,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B183,7/28/09,2009,Hovsgol,Dalbai,51.04778,100.72179,,,lenok,lenok,gillnet-horizontal,NA,NA,20:00,,1.5,1.5,NA,Y,,,,,,,,,Y,,NA,,,,,,,,343,NA,NA,329,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B186,7/28/09,2009,Hovsgol,Dalbai,51.04778,100.72179,,,lenok,lenok,gillnet-horizontal,NA,NA,20:00,,1.5,1.5,NA,Y,,,,,,,,,Y,,NA,,,,,,,,412,NA,NA,520,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B187,7/28/09,2009,Hovsgol,Dalbai,51.04778,100.72179,,,lenok,lenok,gillnet-horizontal,NA,NA,20:00,,1.5,1.5,NA,Y,,,,,,,,,Y,,NA,,,,,,,,390,NA,NA,542,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
B5,7/12/11,2011,Uur,,NA,NA,175,,burbot,burbot,trot line,NA,NA,,,NA,NA,NA,2,,Y,,,,,,,,,NA,,,,,,,,327,NA,NA,221,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1002,7/2/12,2012,Uur,,50.33633333,101.86865,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,136,126,118,21.5,NA,NA,Juv,16,24.4,7.3,NA,12.5,16.8,11.8,9.2,11.9,NA,23,8.5,44.1,60.5,37.2,NA,29.4,57,19.3,26.5,19.4,11.1,13.6,17,43,53,NA,NA,NA,V-14,II-9,I-10,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1004,7/2/12,2012,Uur,,50.31997,101.87924,,,grayling-Arctic,grayling-Arctic,seine,NA,NA,,,NA,NA,NA,,,,,,,2,,,N,,NA,,,,,,,,148,137,127,26.2,NA,NA,Juv,19,27.5,7.8,NA,13.6,18.2,12.6,10.2,12.1,NA,14.6,8.5,47.5,64.4,36.9,NA,34.1,57,21,27.2,22.2,10.5,15.5,17.2,50,51,NA,NA,91,VIII-14,II-8,II-8,III-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1005,7/2/12,2012,Uur,,50.31997,101.87924,,,grayling-Arctic,grayling-Arctic,seine,NA,NA,,,NA,NA,NA,,,,,,,2,,,N,,NA,,,,,,,,139,128,117,22.6,NA,NA,Juv,16,25.5,7.9,NA,12.1,16.5,11.5,9.6,12.3,NA,25,8,45.3,60.9,36.2,NA,31.7,53.1,19.1,24.4,20.4,10.1,14.9,18.4,43,45,NA,NA,88,,II-10,I-9,III-10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1011,7/3/12,2012,Uur,,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,147,136,127,25.2,NA,NA,Juv,17,26.4,6.9,NA,13.2,15.4,12,8.6,10.4,NA,24.9,9.2,45.8,64.5,39.5,NA,24.8,57.8,19,26.4,26.5,10.5,15.5,18.9,16.8,53,40,NA,93,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1012,7/3/12,2012,Uur,,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,153,145,131,31,NA,NA,Juv,17,27,8.2,NA,13.4,17.4,12.9,9.6,11.3,NA,29,9.5,48.1,67.5,42.5,NA,31.7,58.3,19.7,28,27,12.5,18.2,19.8,19.5,50,42,NA,95,VI-11,III-10,II-9,I-10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1015,7/3/12,2012,Uur,,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,141,129,118,22,NA,NA,Juv,17,16.5,7.3,NA,13.5,16,12.5,9,11.2,NA,13.2,8.3,47.6,61.4,35.8,NA,32.4,53.5,17.3,24.4,23.7,8.7,13.9,18.3,16.8,50,39,NA,94,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1016,7/3/12,2012,Uur,,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,142,131,120,21.7,NA,NA,Juv,17,25,7,NA,12,15.3,12.1,8.3,11.2,NA,24.5,8.3,46.5,62.3,34.9,NA,31.8,51.6,18.2,27,23,12,12.7,18.5,16.5,49,38,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1017,7/3/12,2012,Uur,,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,148,137,129,25,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1018,7/3/12,2012,Uur,Riffle Below T. Camp,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,Y,,,,2,,,Y,,NA,,,,,,,,132,121,117,18.2,NA,NA,Juv,11,23.9,7.1,NA,12.2,13.5,10.9,8.8,10.2,NA,21.8,8.1,43.2,56.1,32.3,NA,28,47.8,15.5,23.1,18.4,9,13.5,17.1,16.3,50,34,NA,93,,I-10,I-10,I-14,,NA,NA,-29.17,9.41,0.447154106,0.134277603,3.330072138,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1020,7/3/12,2012,Uur,Riffle Below T. Camp,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,Y,,,,2,,,Y,,NA,,,,,,,,145,131,119,21.4,NA,NA,Juv,18,25.5,7.6,NA,12.7,15.5,10.5,9.6,12.6,NA,24.6,9,44,62.9,36.2,NA,28.7,53.4,19.3,24.6,22.2,10,14.8,18.3,17.8,45,44,NA,84,VIII-11,II-9,I-10,II-12,,NA,NA,-30.02,9.99,0.379686707,0.118402784,3.206738005,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1024,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,182,166,NA,50.4,NA,NA,Juv,17,31.5,9.2,NA,16.1,20.5,16.2,10.3,15,NA,32.2,11.5,57.5,79.4,48.5,NA,40.2,67.9,25.7,32.5,31.5,15.8,20.5,24,22.2,61,55,NA,94,V-14,II-9,I-9,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1025,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,212,192,NA,79.5,NA,NA,Juv,19,36.8,10.5,NA,19.4,22.7,17.7,12.4,16,NA,38.5,13.2,64.1,92,58.1,NA,44.2,81,29.2,37.8,31,17.2,24.3,28.5,23.8,70,55,NA,89,VII-11,II-10,I-9,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1027,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,228,212,NA,94.3,NA,NA,Juv,17,40,10.3,NA,20,27.3,19,12.8,18.5,NA,41,13.1,72.7,96.8,56,NA,54.5,99.9,33,39,36.7,16.5,26.7,41.5,27.8,65,62,NA,93,V-12,II-9,I-9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1029,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,271,245,NA,154,NA,NA,Juv,17,47.5,12.1,NA,23.9,31.1,21.8,16.5,21.9,NA,49.7,17.3,81.2,117.3,71.4,NA,55.3,102,36,48.8,40.2,27.3,32,36.8,35.3,85,78,NA,89,VI-12,I-9,I-9,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1032,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,145,132,NA,25.2,NA,NA,Juv,16,25.7,7.2,NA,13.2,16.3,13.5,7.7,10.6,NA,24.7,8.9,45.3,61.5,36.8,NA,32.1,54.2,18.1,26.1,23.3,10,15.3,19.2,17.3,40,40,NA,84,IV-13,II-9,I-9,I-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1034,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,,,Y,,NA,,,,,,,,156,144,NA,38,NA,NA,Juv,17,27.5,8,NA,16.1,17,13.9,9.7,13,NA,28.1,9,51.7,67,39.8,NA,34.6,57.5,19.8,28.4,24.6,11.2,15.3,19.7,17.6,57,40,NA,81,V-14,I-9,I-9,I-19,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1035,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,,,Y,,NA,,,,,,,,145,132,NA,22.2,NA,NA,Juv,17,25.5,7.4,NA,13.1,15.8,11.6,8.1,11.7,NA,21.5,8.7,47.8,62.3,36.4,NA,33.7,48.5,16.5,25.3,25.8,10.3,15,20.4,16.6,40,44,NA,85,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1036,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,,,Y,,NA,,,,,,,,145,134,NA,24.4,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1037,7/4/12,2012,Eg,,50.2829,101.90186,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,,,Y,,NA,,,,,,,,144,133,NA,24.8,NA,NA,Juv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1038,7/5/12,2012,Uur,,50.34777,101.87321,,,grayling-Arctic,grayling-Arctic,seine,NA,NA,,AM,NA,NA,NA,2,,,,,,2,,,Y,,NA,,,,,,,,156,144,132,29.9,NA,NA,Juv,19,27.3,8,NA,15.1,17.1,12,8.9,12,NA,29,9.6,50.8,66.3,38.6,NA,34.3,59,22.8,26.8,25,12,13.8,19.2,50,20.5,59,NA,87,,,I-10,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1042,7/8/12,2012,Eg,,50.27437,101.87521,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,,,,,1,Y,,Y,,NA,N,,,,,,,148,136,126,26.3,NA,NA,Juv,16,28.1,8.7,NA,14.2,16.5,12.3,9.8,12.8,NA,25,18.9,49.1,77.3,38.3,NA,32.6,55.7,18.4,24.3,19.1,26.3,20.7,15.8,12.6,4.5,17.6,NA,89,VII-12,I-9,I-9,I-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1048,7/8/12,2012,Eg,David's Island,50.27437,101.87521,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,Y,Y,,,1,Y,,Y,,NA,N,,,,,,,227,209,195,98,NA,NA,Juv,18,38.4,10.7,NA,19.1,23,17.2,13.8,16.8,NA,42.5,15,66.6,91.8,53.9,NA,56.5,88.3,30.9,38.7,32,19.1,25.3,7.9,28.1,7.8,30.9,NA,87,VI-12,II-9,I-10,I-13,,NA,NA,-28.32,11.02,0.431841774,0.13732015,3.144780818,-28.51968084,9.974236874,0.441736472,0.128086849,3.448726194,NA,NA,NA,,,NA,NA,,NA,NA
G1053,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,Y,,,,,,,210,190,179,70.3,NA,NA,Juv,17,35.7,11,NA,19.4,21.5,15.2,11.9,15.5,13,36.8,12.3,65.2,87,52,NA,51.3,78.4,27.2,38.4,30.5,17.4,23.5,7.1,25.6,6.8,28.1,NA,89,IV-13,I-10,I-10,I-12,,NA,NA,-29.06,11.26,0.429259898,0.137006134,3.133143651,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1054,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,N,,,,,,,171,157,145,41.5,NA,NA,Juv,18,28.2,9.3,NA,14.8,18.7,12.5,9.1,12.2,9.3,31.1,10.1,56.1,73.7,47,NA,41.6,63.5,21.4,29.7,NA,11.9,17.2,6.1,20.9,5.2,21.9,NA,88,,,,,,NA,NA,-28.46,10.46,0.298750149,0.086526497,3.452701308,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1055,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,Y,,,,,,,179,163,152,47.1,NA,NA,Juv,17,28.9,9.8,NA,15.7,21,15,10.5,14.3,9.1,32.3,11.7,54.1,74.5,45.6,NA,42,68.1,25.8,32.3,23.8,14,20.3,6,21.7,6.4,23.5,NA,90,,,,,,NA,NA,-28.9,12.74,0.421144695,0.134217655,3.137774194,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1056,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,178,164,152,45,NA,NA,Juv,17,29.9,8.8,NA,16.2,19,12.5,10.3,13.8,9.9,31.9,11.9,55.7,78.3,49,NA,43.2,66,22,30.2,23.5,12.1,19,5.2,20.5,6.2,23.2,NA,94,VII-11,,I-8,I-13,,NA,NA,-28.32,9.94,0.41725159,0.131558456,3.171606015,-28.30488864,9.072574357,0.438604215,0.123608436,3.548335601,NA,NA,NA,,,NA,NA,,NA,NA
G1058,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,163,152,136,34.7,NA,NA,Juv,17,28.3,8.5,NA,15,16.8,12,8.6,12.6,8.5,29,9.5,51.2,71.6,42.7,NA,39.8,61.6,23,28.3,22.4,12,18.3,5.7,20,5.1,22.2,NA,88,,,,,,NA,NA,-28.8,9.46,0.441575729,0.134980493,3.271404028,-28.26888751,8.542076797,0.427149599,0.119946155,3.561177908,NA,NA,NA,,,NA,NA,,NA,NA
G1061,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,Y,,,,,,,196,183,169,62.4,NA,NA,Juv,18,33.8,9.3,NA,19,22.3,14.8,10.7,14.8,10,61.3,35.1,NA,85.8,31.8,NA,45.4,74.2,26.4,34.1,24.1,16.1,21.4,6.9,24.5,6.7,25.5,NA,88,V-12,II-9,I-9,I-14,,NA,NA,-28.78,12.89,0.436955256,0.136193358,3.208344826,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1062,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,Y,,,,,,,155,143,131,27.2,NA,NA,Juv,20,26.7,8.3,NA,13.6,16.7,12.5,9.3,12.5,8.2,25.6,8.6,50.5,67.1,39.7,NA,35.3,58.5,20.4,34.2,19.8,11.4,16,4.5,16.5,5,20.8,NA,NA,,,,,,NA,NA,-27.76,9.47,0.432698827,0.135270741,3.19876141,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1063,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,188,172,160,57.2,NA,NA,Juv,18,41.9,8.5,NA,16.8,20.3,14.5,11.5,13.8,10.2,36.8,11.5,60.9,83.1,52,NA,43,70.7,24,44.3,27.1,14.8,20.2,6.8,23.3,6.4,24.3,NA,89,V-14,I-9,I-9,I-14,,NA,NA,-28.73,10.61,0.388801052,0.123945363,3.136874527,-28.34549876,9.62248024,0.427079031,0.116893419,3.653576356,NA,NA,NA,,,NA,NA,,NA,NA
G1073,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,,,,,,172,158,143,40.5,NA,NA,Juv,17,30.8,8.1,NA,14.8,18.9,13,10.7,13.6,10,57.1,30,59.7,73.9,44.5,NA,35.8,52.5,24.8,28,22.6,11.7,16.1,6.2,19,5.7,21.1,NA,92,III-12,I-8,I-9,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1078,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,,,,,,190,176,163,55,NA,NA,Juv,19,31.8,8.5,NA,15.7,21,16.8,11.6,15,9,34.8,11.6,59,82.9,51,NA,43.1,70.7,25,36.1,27.5,14.8,19.6,6.7,22.2,6.1,23.2,NA,93,VI-12,I-9,I-10,I-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1079,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,,,,,,215,194,182,82.7,NA,NA,Juv,20,35.8,12,NA,17.9,23.1,17,13.7,17.9,11.7,41,12.8,65,91.4,56.2,NA,49.5,81.4,29.6,39.4,30.5,16.8,23.7,8.7,NA,7.2,27.4,NA,91,VI-12,II-8,I-10,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA
G1084,7/10/12,2012,Eg,Repeat site,50.2844,101.91808,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,217,202,189,84.7,NA,NA,Juv,17,37.9,10.4,NA,19.3,24.5,16.5,12.5,16.2,9.8,37.6,13.5,66.8,94,53.5,NA,48.1,86.1,32,41,32.2,18.3,25.2,7.8,27.7,6.5,29.4,NA,92,V-12,I-9,I-9,I-13,,NA,NA,-27.52,9.34,0.419290226,0.134132791,3.125933818,-27.96699617,8.320876148,0.443138467,0.120182869,3.687201599,NA,NA,NA,,,NA,NA,,NA,NA
G1088,7/10/12,2012,Eg,Repeat site,50.2844,101.91808,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,172,158,146,43,NA,NA,Juv,18,29,8.2,NA,15,18.5,13.5,11.1,13.8,7.8,30.8,9.9,54.3,73.1,42.6,NA,38.5,62.8,20.9,32.9,25.1,14.1,20,5.9,22.5,6.1,23.1,NA,93,VI-12,II-9,I-9,I-14,,NA,NA,-28.75,9.38,0.224284183,0.073154633,3.065891724,-28.82781087,8.895005936,0.464540544,0.118598935,3.91690318,NA,NA,NA,,,NA,NA,,NA,NA
G1090,7/10/12,2012,Eg,Repeat site,50.2844,101.91808,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,200,181,169,68.1,NA,NA,Juv,17,35.1,10,NA,19.8,22.8,16.2,12.7,16.2,10.2,36.2,12.7,62,89.8,54.2,NA,42.1,74.7,27.7,34,27.8,14.6,23.9,6.5,25.2,7,26.3,NA,95,VI-12,II-8,I-9,I-14,,NA,NA,-28.73,9.77,0.423563301,0.129274698,3.276459419,-28.55392412,8.343066766,0.46087174,0.119679876,3.850870809,NA,NA,NA,,,NA,NA,,NA,NA
G1091,7/10/12,2012,Eg,Repeat site,50.2844,101.91808,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,PM,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,,,,,,151,138,128,27.9,NA,NA,Juv,18,27.5,8.5,NA,14.1,16.8,12.8,8.8,13.1,7.9,25.1,8.8,45.8,67.2,39.4,NA,35.9,58.7,21.9,25.8,19.9,11.3,15.9,5.4,17.8,5.6,19.1,NA,89,VII_12,I-9,I-10,I-13,,NA,NA,-27.9,8.96,0.227458632,0.070640516,3.219945802,-28.39527497,8.379790877,0.294332172,0.074543797,3.948446195,NA,NA,NA,,,NA,NA,,NA,NA
